iter	RMSE
210	4.720651309
211	4.717475333
212	4.713352032
213	4.709433249
214	4.703725645
215	4.701551558
216	4.696406464
217	4.6937407
218	4.691606777
219	4.688653251
220	4.687779652
221	4.683783323
222	4.681442341
223	4.680279283
224	4.673995813
225	4.671601798
226	4.667613052
227	4.665693093
228	4.663474509
229	4.66199131
230	4.655197071
231	4.654468495
232	4.650744949
233	4.646335886
234	4.642219281
235	4.64010786
236	4.632613399
237	4.630481344
238	4.628767613
239	4.626405954
240	4.623057141
241	4.619452526
242	4.616416079
243	4.613333966
244	4.611645768
245	4.606479803
246	4.602583669
247	4.600293077
248	4.597761236
249	4.596713517
250	4.591305094
251	4.588045136
252	4.583498882
253	4.580003798
254	4.576546368
255	4.573530086
256	4.57085686
257	4.567019798
258	4.563726198
259	4.557462751
260	4.552467647
261	4.5519587
262	4.550889711
263	4.550070028
264	4.546915839
265	4.546049865
266	4.544769098
267	4.542491387
268	4.540550157
269	4.535475552
270	4.532899011
271	4.53026825
272	4.529154216
273	4.525821362
274	4.523174911
275	4.522338419
276	4.516380508
277	4.511068622
278	4.509785817
279	4.506175883
280	4.502637428
281	4.497758254
282	4.495688372
283	4.489189683
284	4.486255286
285	4.484499625
286	4.478285198
287	4.473729735
288	4.469364373
289	4.466294978
290	4.46157323
291	4.458672157
292	4.455363426
293	4.450329385
294	4.446434207
295	4.443589031
296	4.440063894
297	4.437508374
298	4.433497991
299	4.42742486
300	4.419711596
301	4.414968722
302	4.411874369
303	4.408912838
304	4.404015482
305	4.403505427
306	4.398938838
307	4.397909667
308	4.393512403
309	4.388162141
310	4.387487138
311	4.383661229
312	4.37922991
313	4.374097666
314	4.370516187
315	4.369758589
316	4.365487356
317	4.363068092
318	4.361371681
319	4.357420599
320	4.356163225
321	4.351173851
322	4.349912711
323	4.347495171
324	4.342844314
325	4.342644158
326	4.340092874
327	4.33755429
328	4.336718777
329	4.335023333
330	4.330901891
331	4.32806397
332	4.324007085
333	4.318620167
334	4.316442978
335	4.313792072
336	4.312622166
337	4.311726815
338	4.30943103
339	4.307015462
340	4.306062112
341	4.302006863
342	4.298898998
343	4.29836622
344	4.296660416
345	4.291486716
346	4.285786747
347	4.28238774
348	4.278069025
349	4.276546344
350	4.273584259
351	4.270756345
352	4.265935978
353	4.261984567
354	4.261244954
355	4.257019206
356	4.253518589
357	4.24960374
358	4.245246769
359	4.238198863
360	4.23569141
361	4.233600882
362	4.228699036
363	4.226613609
364	4.222228358
365	4.220133023
366	4.218910239
367	4.218012574
368	4.212952422
369	4.208453414
370	4.207813095
371	4.201994641
372	4.198365598
373	4.193676777
374	4.192193993
375	4.188446745
376	4.182810431
377	4.182159717
378	4.177717548
379	4.174959259
380	4.172697809
381	4.170739402
382	4.166767467
383	4.164628347
384	4.161058712
385	4.157492392
386	4.155000439
387	4.153875621
388	4.148575195
389	4.145210908
390	4.141096986
391	4.138442962
392	4.136242441
393	4.134761759
394	4.132122985
395	4.131488391
396	4.12771419
397	4.125244971
398	4.120378723
399	4.11923987
400	4.117114126
401	4.113858325
402	4.109885905
403	4.109027941
404	4.108641863
405	4.106879361
406	4.106613543
407	4.103019199
408	4.098785509
409	4.093840018
410	4.089961257
411	4.085526816
412	4.084209958
413	4.080649497
414	4.075941573
415	4.073118642
416	4.070952456
417	4.066698006
418	4.064637533
419	4.059580621
420	4.058197918
421	4.057449624
422	4.053732227
423	4.05122231
424	4.050417559
425	4.049954241
426	4.046597809
427	4.046317958
428	4.043551204
429	4.042720949
430	4.038614296
431	4.033740315
432	4.028020108
433	4.025053105
434	4.023740589
435	4.022704925
436	4.018344862
437	4.014287468
438	4.010424913
439	4.008904399
440	4.006225936
441	4.001637168
442	3.997983354
443	3.994313194
444	3.992089447
445	3.988483422
446	3.986413007
447	3.98546626
448	3.981788319
449	3.98118926
450	3.980268216
451	3.975273149
452	3.97295443
453	3.970494342
454	3.969610379
455	3.966987144
456	3.965538209
457	3.96232144
458	3.959424079
459	3.957385481
460	3.955784286
461	3.952868875
462	3.947918328
463	3.945762759
464	3.942472239
465	3.938988118
466	3.936084393
467	3.932281683
468	3.931843863
469	3.930434224
470	3.926680529
471	3.924155158
472	3.923736457
473	3.92114643
474	3.918549652
475	3.915970279
476	3.91411327
477	3.910942442
478	3.906322984
479	3.90466464
480	3.904261868
481	3.903659449
482	3.899728772
483	3.898883652
484	3.895094514
485	3.89317088
486	3.891337262
487	3.891026609
488	3.888684898
489	3.886881392
490	3.884249207
491	3.882118148
492	3.880379102
493	3.876418863
494	3.873961724
495	3.872138243
496	3.868039881
497	3.865465578
498	3.862150812
499	3.857822591
500	3.856796181
501	3.856121805
502	3.855640916
503	3.851107388
504	3.849301294
505	3.846069663
506	3.844446099
507	3.840776114
508	3.837838983
509	3.83454353
510	3.834083562
511	3.832690339
512	3.830845179
513	3.830417263
514	3.827232271
515	3.824468024
516	3.821118316
517	3.817837679
518	3.816480329
519	3.815846897
520	3.811808339
521	3.81134097
522	3.811078887
523	3.807747855
524	3.804006681
525	3.801678835
526	3.800248706
527	3.797058471
528	3.79288075
529	3.792111711
530	3.790208248
531	3.788576262
532	3.78540559
533	3.783885899
534	3.782231594
535	3.779854695
536	3.776826762
537	3.77515488
538	3.773822138
539	3.770422179
540	3.767866271
541	3.764852697
542	3.763845402
543	3.762586422
544	3.760475944
545	3.758710239
546	3.755794008
547	3.754892674
548	3.754072715
549	3.750660343
550	3.746802283
551	3.744229434
552	3.742311736
553	3.740670996
554	3.73742121
555	3.73507636
556	3.734838635
557	3.731502343
558	3.730306988
559	3.728099346
560	3.724735256
561	3.723453689
562	3.721611971
563	3.718146231
564	3.715149592
565	3.712493027
566	3.708978235
567	3.70470224
568	3.701163279
569	3.699679493
570	3.699141547
571	3.69774631
572	3.695400481
573	3.693853767
574	3.69339555
575	3.692256799
576	3.689767004
577	3.688553079
578	3.686026506
579	3.681945882
580	3.678196924
581	3.677041916
582	3.673510864
583	3.671098269
584	3.668192626
585	3.666126529
586	3.664012446
587	3.663543672
588	3.661972911
589	3.661851666
590	3.661349376
591	3.660125788
592	3.656684327
593	3.652598961
594	3.651938391
595	3.647426633
596	3.644349149
597	3.640741962
598	3.637547475
599	3.634597628
600	3.630562799
601	3.627689012
602	3.627264002
603	3.6249279
604	3.621067437
605	3.620802876
606	3.61865222
607	3.616227167
608	3.616045306
609	3.614197501
610	3.612977718
611	3.610664655
612	3.610025402
613	3.606786667
614	3.606355068
615	3.604163012
616	3.601381967
617	3.599136217
618	3.595770501
619	3.593687372
620	3.591875373
621	3.590447119
622	3.588475397
623	3.58798382
624	3.585693495
625	3.585275512
626	3.583729549
627	3.58073647
628	3.577803583
629	3.574798668
630	3.573124477
631	3.572471495
632	3.570411989
633	3.568424531
634	3.567419483
635	3.567268309
636	3.563854448
637	3.562895355
638	3.562475009
639	3.559652354
640	3.557359775
641	3.555439784
642	3.554185361
643	3.553035196
644	3.551771229
645	3.549882911
646	3.548489512
647	3.547107761
648	3.544815373
649	3.541922079
650	3.539179478
651	3.537505504
652	3.53489887
653	3.53275482
654	3.530802225
655	3.529654355
656	3.527759477
657	3.52573173
658	3.524075262
659	3.521962479
660	3.520006616
661	3.517044158
662	3.516461003
663	3.514524295
664	3.51308593
665	3.512183989
666	3.510513497
667	3.508287131
668	3.50572347
669	3.504828965
670	3.503744657
671	3.501595699
672	3.50013868
673	3.499907528
674	3.49946122
675	3.497092047
676	3.494515205
677	3.492850508
678	3.491882883
679	3.490970967
680	3.489565425
681	3.487860284
682	3.48747059
683	3.486545376
684	3.48642772
685	3.484138096
686	3.480177754
687	3.480135323
688	3.476515724
689	3.475791217
690	3.473769237
691	3.471061483
692	3.468841637
693	3.466900266
694	3.46588813
695	3.46418087
696	3.462148997
697	3.458074668
698	3.455891174
699	3.454664344
700	3.451660854
701	3.450122706
702	3.449016254
703	3.448020838
704	3.44632292
705	3.44457024
706	3.442452184
707	3.440768192
708	3.439508539
709	3.435904727
710	3.435328416
711	3.432610511
712	3.430150195
713	3.427457368
714	3.424261599
715	3.422917815
716	3.418274441
717	3.416903053
718	3.41367017
719	3.412701596
720	3.411691543
721	3.409312406
722	3.407706624
723	3.407363252
724	3.406490445
725	3.405980576
726	3.403634263
727	3.402041221
728	3.398211172
729	3.396683578
730	3.39460018
731	3.394262805
732	3.392644123
733	3.391723354
734	3.3891935
735	3.388652774
736	3.388052164
737	3.386889161
738	3.385962502
739	3.383181462
740	3.381686449
741	3.379409089
742	3.376446252
743	3.374761677
744	3.374367018
745	3.371217674
746	3.370416321
747	3.367205315
748	3.36518275
749	3.364439719
750	3.363738882
751	3.360653737
752	3.358703014
753	3.35695926
754	3.356329424
755	3.355984992
756	3.355187748
757	3.353046235
758	3.350896035
759	3.349471086
760	3.348465688
761	3.347953388
762	3.345465458
763	3.341613532
764	3.337295007
765	3.337211455
766	3.334923739
767	3.333723739
768	3.332957342
769	3.33223862
770	3.331912168
771	3.330638909
772	3.327736508
773	3.325293979
774	3.323010681
775	3.321008884
776	3.317825195
777	3.315661456
778	3.312837998
779	3.312626397
780	3.310622086
781	3.306966316
782	3.305020172
783	3.302105664
784	3.300400322
785	3.297809424
786	3.295636108
787	3.29542392
788	3.294347582
789	3.293409841
790	3.293130008
791	3.291062761
792	3.290962941
793	3.29009527
794	3.288669971
795	3.287067227
796	3.284628472
797	3.282257092
798	3.281619949
799	3.280973696
800	3.279706123
801	3.279485303
802	3.278384987
803	3.277176568
804	3.275105896
805	3.274901855
806	3.274002017
807	3.272599496
808	3.270278642
809	3.26969721
810	3.267084185
811	3.266638458
812	3.266495813
813	3.265800512
814	3.264534005
815	3.263550237
816	3.260672697
817	3.259907374
818	3.258022004
819	3.25550634
820	3.252853481
821	3.249272988
822	3.248511427
823	3.247637357
824	3.245946307
825	3.245035196
826	3.244870233
827	3.242978884
828	3.239449084
829	3.235903595
830	3.234610307
831	3.232889703
832	3.22908647
833	3.226176131
834	3.222784677
835	3.220269701
836	3.218826319
837	3.217283886
838	3.215959366
839	3.214401331
840	3.211444246
841	3.21062111
842	3.209468673
843	3.206929422
844	3.204800738
845	3.202944622
846	3.201762212
847	3.200835258
848	3.19750648
849	3.195267929
850	3.194250319
851	3.194031014
852	3.191107794
853	3.18922698
854	3.187117038
855	3.186172116
856	3.185124113
857	3.184031385
858	3.183799512
859	3.181065815
860	3.180070928
861	3.179457296
862	3.177663842
863	3.176452245
864	3.174794118
865	3.173232295
866	3.171727217
867	3.170425047
868	3.169597692
869	3.167709684
870	3.166382936
871	3.166170922
872	3.164057043
873	3.163137391
874	3.162948172
875	3.16258123
876	3.159925625
877	3.159060125
878	3.157801459
879	3.155508199
880	3.152739284
881	3.151702093
882	3.14983755
883	3.148778014
884	3.14552526
885	3.144733604
886	3.144452565
887	3.141087191
888	3.140086511
889	3.138114709
890	3.136286445
891	3.134809398
892	3.133160267
893	3.132647529
894	3.129257304
895	3.127543425
896	3.126734511
897	3.126281508
898	3.122907631
899	3.121209864
900	3.121096579
901	3.12007104
902	3.11740529
903	3.114914172
904	3.114196875
905	3.111890112
906	3.110519753
907	3.108929744
908	3.107668872
909	3.105547354
910	3.10476416
911	3.102506677
912	3.100172603
913	3.098623911
914	3.095304741
915	3.093788811
916	3.092113239
917	3.091012995
918	3.08924998
919	3.089127524
920	3.088975632
921	3.086671271
922	3.084415336
923	3.081883678
924	3.081058024
925	3.078563319
926	3.076500027
927	3.074326239
928	3.072651244
929	3.072453371
930	3.071261135
931	3.070242247
932	3.068729424
933	3.06805277
934	3.066292783
935	3.065649623
936	3.063166557
937	3.062267448
938	3.062055938
939	3.061063921
940	3.060382588
941	3.059166631
942	3.056790517
943	3.054576284
944	3.053449891
945	3.051987802
946	3.05106348
947	3.050857388
948	3.049640673
949	3.049610801
950	3.047384257
951	3.046376421
952	3.044369791
953	3.042764554
954	3.040683333
955	3.037720849
956	3.03615959
957	3.035315972
958	3.034193695
959	3.032323708
960	3.032249288
961	3.031876773
962	3.031696877
963	3.031057497
964	3.0303559
965	3.029995295
966	3.027238315
967	3.02479779
968	3.023669192
969	3.023204493
970	3.020038618
971	3.019195246
972	3.016506072
973	3.015356614
974	3.01400373
975	3.012112281
976	3.011687518
977	3.010360122
978	3.008419513
979	3.00781893
980	3.006231057
981	3.003069228
982	3.002514026
983	3.000081396
984	2.998603404
985	2.997925218
986	2.99727385
987	2.995538708
988	2.994625959
989	2.993478643
990	2.991696288
991	2.988213803
992	2.986176857
993	2.984260993
994	2.983720662
995	2.980615265
996	2.979458269
997	2.979194535
998	2.977988223
999	2.975236834
